Bore_ID,year,month,day,Head_m
bore_2091,2004,10,21,274.96922
bore_2091,2004,11,24,274.92922
bore_2091,2004,12,22,274.98922
bore_2091,2005,1,25,274.94922
bore_2091,2005,2,23,274.90922
bore_2091,2005,3,23,274.88922
bore_2091,2005,4,27,274.82922
bore_2091,2005,5,24,274.85922
bore_2091,2005,5,30,274.32922
bore_2091,2005,6,2,274.62922
bore_2091,2005,6,22,275.01922
bore_2091,2005,7,26,274.87922
bore_2091,2005,8,23,274.84922
bore_2091,2005,9,27,274.83922
bore_2091,2005,10,20,274.86922
bore_2091,2005,11,23,274.87922
bore_2091,2005,12,21,274.91922
bore_2091,2006,1,24,274.90922
bore_2091,2006,2,23,274.82922
bore_2091,2006,3,28,274.79922
bore_2091,2006,4,27,274.75922
bore_2091,2006,5,23,272.12922
bore_2091,2006,5,24,274.74922
bore_2091,2006,5,25,274.57922
bore_2091,2006,6,21,274.63922
bore_2091,2006,7,20,274.63922
bore_2091,2006,8,22,274.71922
bore_2091,2006,9,22,274.76922
bore_2091,2006,10,26,274.66922
bore_2091,2006,12,20,274.59922
bore_2091,2007,1,24,274.57922
bore_2091,2007,2,27,274.45922
bore_2091,2007,3,27,274.37922
bore_2091,2007,4,23,274.33922
bore_2091,2007,5,29,274.33922
bore_2091,2007,6,26,274.28922
bore_2091,2007,7,24,274.20922
bore_2091,2007,8,28,274.20922
bore_2091,2007,9,21,274.29922
bore_2091,2007,10,26,274.23922
bore_2091,2007,11,27,274.18922
bore_2091,2007,12,21,274.15922
bore_2091,2008,1,30,274.09922
bore_2091,2008,2,26,274.06922
bore_2091,2008,3,27,274.01922
bore_2091,2008,4,28,274.01922
bore_2091,2008,5,27,273.91922
bore_2091,2008,6,24,273.84922
bore_2091,2008,7,4,265.42922
bore_2091,2008,7,15,273.83922
bore_2091,2008,7,24,273.75922
bore_2091,2008,8,28,273.77922
bore_2091,2008,9,25,273.76922
bore_2091,2008,10,28,273.83922
bore_2091,2008,11,26,273.85922
bore_2091,2008,12,18,273.81922
bore_2091,2009,1,29,273.71922
bore_2091,2009,2,18,273.66922
bore_2091,2009,3,26,273.61922
bore_2091,2009,4,28,273.62922
bore_2091,2009,5,26,273.48922
bore_2091,2009,6,10,265.50922
bore_2091,2009,6,23,273.48922
bore_2091,2009,6,25,273.48922
bore_2091,2009,7,28,273.49922
bore_2091,2009,8,25,273.60922
bore_2091,2009,9,23,272.91922
bore_2091,2009,10,28,273.40922
bore_2091,2009,11,24,273.46922
bore_2091,2009,12,24,273.43922
bore_2091,2010,1,28,273.39922
bore_2091,2010,2,24,273.31922
bore_2091,2010,3,29,273.25922
bore_2091,2010,4,28,273.26922
bore_2091,2010,5,26,273.30922
bore_2091,2010,6,28,273.18922
bore_2091,2010,7,28,273.15922
bore_2091,2010,8,26,273.35922
bore_2091,2010,9,23,273.18922
bore_2091,2010,10,26,273.18922
bore_2091,2010,11,25,273.20922
bore_2091,2010,12,23,273.27922
bore_2091,2011,1,25,273.31922
bore_2091,2011,2,23,273.31922
bore_2091,2011,3,22,273.41922
bore_2091,2011,4,30,273.34922
bore_2091,2011,5,26,273.50922
bore_2091,2011,6,9,271.92922
bore_2091,2011,6,22,273.50922
bore_2091,2011,6,25,274.12922
bore_2091,2011,7,26,273.44922
bore_2091,2011,8,29,273.43922
bore_2091,2011,9,28,273.53922
bore_2091,2011,10,24,273.51922
bore_2091,2011,11,29,273.53922
bore_2091,2011,12,20,273.51922
bore_2091,2012,1,24,273.43922
bore_2091,2012,2,21,273.43922
bore_2091,2012,3,27,273.44922
bore_2091,2012,4,27,273.47922
bore_2091,2012,5,28,273.49922
bore_2091,2012,6,26,273.49922
bore_2091,2012,7,25,273.47922
bore_2091,2012,8,23,273.63922
bore_2091,2012,9,18,273.52922
bore_2091,2012,10,18,273.52922
bore_2091,2012,11,22,273.55922
bore_2091,2012,12,17,273.59922
bore_2091,2013,2,19,273.52922
bore_2091,2013,3,20,273.51922
bore_2091,2013,5,21,273.57922
bore_2091,2013,6,18,273.62922
