stream_ID,year,month,day,Value
flow_236212,1976,1,11,0.178
flow_236212,1976,1,12,0.194
flow_236212,1976,1,13,0.178
flow_236212,1976,1,14,0.19
flow_236212,1976,1,15,0.197
flow_236212,1976,1,16,0.196
flow_236212,1976,1,17,0.202
flow_236212,1976,1,18,0.192
flow_236212,1976,1,19,0.194
flow_236212,1976,1,20,0.181
flow_236212,1976,1,21,0.173
flow_236212,1976,1,22,0.179
flow_236212,1976,1,23,0.177
flow_236212,1976,1,24,0.19
flow_236212,1976,1,25,0.205
flow_236212,1976,1,26,0.224
flow_236212,1976,1,27,0.229
flow_236212,1976,1,28,0.222
flow_236212,1976,1,29,0.224
flow_236212,1976,1,30,0.224
flow_236212,1976,1,31,0.214
flow_236212,1976,2,1,0.195
flow_236212,1976,2,2,0.192
flow_236212,1976,2,3,0.17
flow_236212,1976,2,4,0.158
flow_236212,1976,2,5,0.167
flow_236212,1976,2,6,0.163
flow_236212,1976,2,7,0.178
flow_236212,1976,2,8,0.198
flow_236212,1976,2,9,0.351
flow_236212,1976,2,10,0.264
flow_236212,1976,2,11,0.224
flow_236212,1976,2,12,0.21
flow_236212,1976,2,13,0.172
flow_236212,1976,2,14,0.167
flow_236212,1976,2,15,0.164
flow_236212,1976,2,16,0.168
flow_236212,1976,2,17,0.173
flow_236212,1976,2,18,0.165
flow_236212,1976,2,19,0.185
flow_236212,1976,2,20,0.178
flow_236212,1976,2,21,0.19
flow_236212,1976,2,22,0.198
flow_236212,1976,2,23,0.191
flow_236212,1976,2,24,0.193
flow_236212,1976,2,25,0.175
flow_236212,1976,2,26,0.182
flow_236212,1976,2,27,0.176
flow_236212,1976,2,28,0.186
flow_236212,1976,2,29,0.249
flow_236212,1976,3,1,0.352
flow_236212,1976,3,2,0.292
flow_236212,1976,3,3,0.254
flow_236212,1976,3,4,0.243
flow_236212,1976,3,5,0.239
flow_236212,1976,3,6,0.231
flow_236212,1976,3,7,0.215
flow_236212,1976,3,8,0.205
flow_236212,1976,3,9,0.209
flow_236212,1976,3,10,0.192
flow_236212,1976,3,11,0.19
flow_236212,1976,3,12,0.181
flow_236212,1976,3,13,0.174
flow_236212,1976,3,14,0.186
flow_236212,1976,3,15,0.197
flow_236212,1976,3,16,0.185
flow_236212,1976,3,17,0.211
flow_236212,1976,3,18,0.27
flow_236212,1976,3,19,0.241
flow_236212,1976,3,20,0.227
flow_236212,1976,3,21,0.238
flow_236212,1976,3,22,0.243
flow_236212,1976,3,23,0.242
flow_236212,1976,3,24,0.24
flow_236212,1976,3,25,0.241
flow_236212,1976,3,26,0.235
flow_236212,1976,3,27,0.231
flow_236212,1976,3,28,0.234
flow_236212,1976,3,29,0.266
flow_236212,1976,3,30,0.236
flow_236212,1976,3,31,0.202
flow_236212,1976,4,1,0.212
flow_236212,1976,4,2,0.2
flow_236212,1976,4,3,0.194
flow_236212,1976,4,4,0.195
flow_236212,1976,4,5,0.219
flow_236212,1976,4,6,0.251
flow_236212,1976,4,7,0.26
flow_236212,1976,4,8,0.252
flow_236212,1976,4,9,0.248
flow_236212,1976,4,10,0.249
flow_236212,1976,4,11,0.24
flow_236212,1976,4,12,0.227
flow_236212,1976,4,13,0.229
flow_236212,1976,4,14,0.236
flow_236212,1976,4,15,0.238
flow_236212,1976,4,16,0.236
flow_236212,1976,4,17,0.229
flow_236212,1976,4,18,0.226
flow_236212,1976,4,19,0.226
flow_236212,1976,4,20,0.228
flow_236212,1976,4,21,0.228
flow_236212,1976,4,22,0.226
flow_236212,1976,4,23,0.23
flow_236212,1976,4,24,0.238
flow_236212,1976,4,25,0.239
flow_236212,1976,4,26,0.239
flow_236212,1976,4,27,0.238
flow_236212,1976,4,28,0.239
flow_236212,1976,4,29,0.255
flow_236212,1976,4,30,0.259
flow_236212,1976,5,1,0.257
flow_236212,1976,5,2,0.251
flow_236212,1976,5,3,0.251
flow_236212,1976,5,4,0.257
flow_236212,1976,5,5,0.262
flow_236212,1976,5,6,0.262
flow_236212,1976,5,7,0.262
flow_236212,1976,5,8,0.261
flow_236212,1976,5,9,0.259
flow_236212,1976,5,10,0.246
flow_236212,1976,5,11,0.253
flow_236212,1976,5,12,0.254
flow_236212,1976,5,13,0.26
flow_236212,1976,5,14,0.271
flow_236212,1976,5,15,0.273
flow_236212,1976,5,16,0.276
flow_236212,1976,5,17,0.272
flow_236212,1976,5,18,0.264
flow_236212,1976,5,19,0.264
flow_236212,1976,5,20,0.262
flow_236212,1976,5,21,0.266
flow_236212,1976,5,22,0.271
flow_236212,1976,5,23,0.273
flow_236212,1976,5,24,0.306
flow_236212,1976,5,25,0.335
flow_236212,1976,5,26,0.369
flow_236212,1976,5,27,0.358
flow_236212,1976,5,28,0.297
flow_236212,1976,5,29,0.273
flow_236212,1976,5,30,0.264
flow_236212,1976,5,31,0.261
flow_236212,1976,6,1,0.253
flow_236212,1976,6,2,0.301
flow_236212,1976,6,3,0.328
flow_236212,1976,6,4,0.308
flow_236212,1976,6,5,0.296
flow_236212,1976,6,6,0.29
flow_236212,1976,6,7,0.336
flow_236212,1976,6,8,0.344
flow_236212,1976,6,9,0.359
flow_236212,1976,6,10,0.375
flow_236212,1976,6,11,0.368
flow_236212,1976,6,12,0.345
flow_236212,1976,6,13,0.331
flow_236212,1976,6,14,0.433
flow_236212,1976,6,15,0.411
flow_236212,1976,6,16,0.34
flow_236212,1976,6,17,0.359
flow_236212,1976,6,18,0.35
flow_236212,1976,6,19,0.337
flow_236212,1976,6,20,0.328
flow_236212,1976,6,21,0.314
flow_236212,1976,6,22,0.311
flow_236212,1976,6,23,0.307
flow_236212,1976,6,24,0.301
flow_236212,1976,6,25,0.296
flow_236212,1976,6,26,0.291
flow_236212,1976,6,27,0.308
flow_236212,1976,6,28,1.013
flow_236212,1976,6,29,2.013
flow_236212,1976,6,30,1.831
flow_236212,1976,7,1,0.905
flow_236212,1976,7,2,0.61
flow_236212,1976,7,3,0.489
flow_236212,1976,7,4,0.47
flow_236212,1976,7,5,0.53
flow_236212,1976,7,6,0.592
flow_236212,1976,7,7,0.634
flow_236212,1976,7,8,0.574
flow_236212,1976,7,9,0.489
flow_236212,1976,7,10,0.425
flow_236212,1976,7,11,0.392
flow_236212,1976,7,12,0.389
flow_236212,1976,7,13,0.389
flow_236212,1976,7,14,0.389
flow_236212,1976,7,15,0.385
flow_236212,1976,7,16,0.372
flow_236212,1976,7,17,0.374
flow_236212,1976,7,18,0.369
flow_236212,1976,7,19,0.362
flow_236212,1976,7,20,0.351
flow_236212,1976,7,21,0.352
flow_236212,1976,7,22,0.357
flow_236212,1976,7,23,0.355
flow_236212,1976,7,24,0.346
flow_236212,1976,7,25,0.344
flow_236212,1976,7,26,0.363
flow_236212,1976,7,27,0.376
flow_236212,1976,7,28,0.369
flow_236212,1976,7,29,0.381
flow_236212,1976,7,30,0.548
flow_236212,1976,7,31,0.675
flow_236212,1976,8,1,1.715
flow_236212,1976,8,2,4.861
flow_236212,1976,8,3,3.653
flow_236212,1976,8,4,3.765
flow_236212,1976,8,5,2.369
flow_236212,1976,8,6,3.002
flow_236212,1976,8,7,8.022
flow_236212,1976,8,8,8.653
flow_236212,1976,8,9,4.516
flow_236212,1976,8,10,3.075
flow_236212,1976,8,11,3.538
flow_236212,1976,8,12,4.02
flow_236212,1976,8,13,11.213
flow_236212,1976,8,14,5.487
flow_236212,1976,8,15,2.249
flow_236212,1976,8,16,1.409
flow_236212,1976,8,17,0.959
flow_236212,1976,8,18,0.779
flow_236212,1976,8,19,0.684
flow_236212,1976,8,20,0.588
flow_236212,1976,8,21,0.527
flow_236212,1976,8,22,0.485
flow_236212,1976,8,23,2.24
flow_236212,1976,8,24,6.23
flow_236212,1976,8,25,4.388
flow_236212,1976,8,26,2.281
flow_236212,1976,8,27,1.372
flow_236212,1976,8,28,0.984
flow_236212,1976,8,29,0.759
flow_236212,1976,8,30,0.619
flow_236212,1976,8,31,0.534
flow_236212,1976,9,1,0.495
flow_236212,1976,9,2,0.609
flow_236212,1976,9,3,0.51
flow_236212,1976,9,4,0.489
flow_236212,1976,9,5,0.483
flow_236212,1976,9,6,0.483
flow_236212,1976,9,7,0.492
flow_236212,1976,9,8,0.741
flow_236212,1976,9,9,1.667
flow_236212,1976,9,10,4.232
flow_236212,1976,9,11,4.832
flow_236212,1976,9,12,3.68
flow_236212,1976,9,13,3.279
flow_236212,1976,9,14,2.43
flow_236212,1976,9,15,1.664
flow_236212,1976,9,16,1.204
flow_236212,1976,9,17,1.275
flow_236212,1976,9,18,1.761
flow_236212,1976,9,19,1.206
flow_236212,1976,9,20,0.877
flow_236212,1976,9,21,4.396
flow_236212,1976,9,22,30.093
flow_236212,1976,9,23,15.944
flow_236212,1976,9,24,5.254
flow_236212,1976,9,25,2.869
flow_236212,1976,9,26,1.867
flow_236212,1976,9,27,1.209
flow_236212,1976,9,28,0.866
flow_236212,1976,9,29,0.691
flow_236212,1976,9,30,0.577
flow_236212,1976,10,1,0.522
flow_236212,1976,10,2,0.503
flow_236212,1976,10,3,0.469
flow_236212,1976,10,4,0.44
flow_236212,1976,10,5,0.436
flow_236212,1976,10,6,0.558
flow_236212,1976,10,7,0.855
flow_236212,1976,10,8,2.392
flow_236212,1976,10,9,2.251
flow_236212,1976,10,10,1.82
flow_236212,1976,10,11,1.289
